,public_date,de_ratio,ptb,debt_assets,inv_turn,at_turn,rect_turn,cash_ratio,pe_inc,gpm,roe,roa,cfm,cash_debt,TICKER,permno,Unnamed: 0,PERMNO,tentativeSICCD,starting_date,end_date,correct_siccd,start_of_month,end_of_month,month_key
0,2010-01-31,0.991,1.152,0.498,2.272,1.001,6.346,0.466,16.55,0.201,0.079,0.095,0.073,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-01-01,2010-01-31,2010-01
2,2010-02-28,0.991,1.128,0.498,2.272,1.001,6.346,0.466,16.2,0.201,0.079,0.095,0.073,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-02-01,2010-02-28,2010-02
4,2010-03-31,0.991,1.237,0.498,2.272,1.001,6.346,0.466,17.729,0.201,0.079,0.095,0.073,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-03-01,2010-03-31,2010-03
6,2010-04-30,0.897,1.197,0.473,2.312,0.987,6.314,0.545,19.821,0.195,0.067,0.086,0.067,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-04-01,2010-04-30,2010-04
8,2010-05-31,0.897,0.968,0.473,2.312,0.987,6.314,0.545,16.016,0.195,0.067,0.086,0.067,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-05-01,2010-05-31,2010-05
10,2010-06-30,0.897,0.822,0.473,2.312,0.987,6.314,0.545,13.61,0.195,0.067,0.086,0.067,0.089,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-06-01,2010-06-30,2010-06
12,2010-07-31,1.01,0.825,0.503,2.188,0.939,5.806,0.244,14.483,0.212,0.059,0.093,0.061,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-07-01,2010-07-31,2010-07
14,2010-08-31,1.01,0.754,0.503,2.188,0.939,5.806,0.244,13.241,0.212,0.059,0.093,0.061,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-08-01,2010-08-31,2010-08
16,2010-09-30,1.01,0.92,0.503,2.188,0.939,5.806,0.244,16.086,0.212,0.059,0.093,0.061,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-09-01,2010-09-30,2010-09
18,2010-10-31,0.912,1.057,0.477,2.344,0.972,6.187,0.343,17.774,0.186,0.064,0.078,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-10-01,2010-10-31,2010-10
20,2010-11-30,0.912,1.178,0.477,2.344,0.972,6.187,0.343,19.806,0.186,0.064,0.078,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-11-01,2010-11-30,2010-11
22,2010-12-31,0.912,1.332,0.477,2.344,0.972,6.187,0.343,22.153,0.186,0.064,0.078,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2010-12-01,2010-12-31,2010-12
24,2011-01-31,0.956,1.264,0.489,2.527,1.031,6.426,0.248,20.295,0.177,0.067,0.077,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-01-01,2011-01-31,2011-01
26,2011-02-28,0.956,1.288,0.489,2.527,1.031,6.426,0.248,20.674,0.177,0.067,0.077,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-02-01,2011-02-28,2011-02
28,2011-03-31,0.956,1.31,0.489,2.527,1.031,6.426,0.248,21.0,0.177,0.067,0.077,0.067,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-03-01,2011-03-31,2011-03
30,2011-04-30,1.02,1.184,0.505,2.695,1.077,6.464,0.163,17.36,0.173,0.074,0.082,0.07,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-04-01,2011-04-30,2011-04
32,2011-05-31,1.02,1.2,0.505,2.695,1.077,6.464,0.163,17.593,0.173,0.074,0.082,0.07,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-05-01,2011-05-31,2011-05
34,2011-06-30,1.02,1.231,0.505,2.695,1.077,6.464,0.163,18.06,0.173,0.074,0.082,0.07,0.203,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-06-01,2011-06-30,2011-06
36,2011-07-31,1.039,1.246,0.51,2.804,1.108,6.639,0.138,16.96,0.207,0.084,0.123,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-07-01,2011-07-31,2011-07
38,2011-08-31,1.039,1.002,0.51,2.804,1.108,6.639,0.138,13.636,0.207,0.084,0.123,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-08-01,2011-08-31,2011-08
40,2011-09-30,1.039,0.722,0.51,2.804,1.108,6.639,0.138,9.636,0.207,0.084,0.123,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-09-01,2011-09-30,2011-09
42,2011-10-31,1.039,0.849,0.51,2.951,1.131,6.559,0.128,11.134,0.177,0.083,0.094,0.073,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-10-01,2011-10-31,2011-10
44,2011-11-30,1.039,0.778,0.51,2.951,1.131,6.559,0.128,10.201,0.177,0.083,0.094,0.073,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-11-01,2011-11-30,2011-11
46,2011-12-31,1.039,0.813,0.51,2.951,1.131,6.559,0.128,10.709,0.177,0.083,0.094,0.073,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2011-12-01,2011-12-31,2011-12
48,2012-01-31,1.068,0.883,0.517,2.901,1.104,6.448,0.113,11.772,0.185,0.082,0.103,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-01-01,2012-01-31,2012-01
50,2012-02-29,1.068,0.919,0.517,2.901,1.104,6.448,0.113,12.25,0.185,0.082,0.103,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-02-01,2012-02-29,2012-02
52,2012-03-31,1.068,0.761,0.517,2.901,1.104,6.448,0.113,10.139,0.185,0.082,0.103,0.075,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-03-01,2012-03-31,2012-03
54,2012-04-30,1.18,0.621,0.541,2.874,1.061,6.532,0.106,8.351,0.192,0.082,0.11,0.076,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-04-01,2012-04-30,2012-04
56,2012-05-31,1.18,0.485,0.541,2.874,1.061,6.532,0.106,6.514,0.192,0.082,0.11,0.076,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-05-01,2012-05-31,2012-05
58,2012-06-30,1.18,0.542,0.541,2.874,1.061,6.532,0.106,7.286,0.192,0.082,0.11,0.076,0.125,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-06-01,2012-06-30,2012-06
60,2012-07-31,1.538,0.582,0.606,3.003,1.064,6.677,0.143,8.612,0.199,0.071,0.114,0.072,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-07-01,2012-07-31,2012-07
62,2012-08-31,1.538,0.61,0.606,3.003,1.064,6.677,0.143,9.018,0.199,0.071,0.114,0.072,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-08-01,2012-08-31,2012-08
64,2012-09-30,1.538,0.669,0.606,3.003,1.064,6.677,0.143,9.952,0.199,0.071,0.114,0.072,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-09-01,2012-09-30,2012-09
66,2012-10-31,1.402,0.601,0.583,2.852,1.018,6.94,0.122,8.876,0.204,0.071,0.119,0.074,0.071,AIR,54594,11702,54594,3721.0,2010-01-04,2014-01-08,3721.0,2012-10-01,2012-10-31,2012-10
